Cidade;valortotal;categorias
IPERO-SP;2346.43;BELEZA_SAUDE|ELETRONICOS|MOVEIS_DECORACAO|CAMA_MESA_BANHO|COOL_STUFF|FERRAMENTAS_JARDIM|BRINQUEDOS|RELOGIOS_PRESENTES|ELETRODOMESTICOS|AUTOMOTIVO|INFORMATICA_ACESSORI|ESPORTE_LAZER|
DOIS VIZINHOS-PR;2193.35;BELEZA_SAUDE|PERFUMARIA|TELEFONIA|ESPORTE_LAZER|COOL_STUFF|MALAS_ACESSORIOS|INFORMATICA_ACESSORI|ELETRONICOS|CAMA_MESA_BANHO|BEBIDAS|FERRAMENTAS_JARDIM|AUTOMOTIVO|UTILIDADES_DOMESTICA|
JARINU-SP;1382.58;BELEZA_SAUDE|CAMA_MESA_BANHO|INFORMATICA_ACESSORI|PAPELARIA|ESPORTE_LAZER|TELEFONIA|PET_SHOP|COOL_STUFF|BRINQUEDOS|
ARAPIRACA-AL;7633.08;BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|TELEFONIA|INFORMATICA_ACESSORI|RELOGIOS_PRESENTES|BRINQUEDOS|AUTOMOTIVO|PERFUMARIA|PET_SHOP|
LEME-SP;6290.05;BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|ESPORTE_LAZER|MOVEIS_ESCRITORIO|TELEFONIA|COOL_STUFF|BEBIDAS|INFORMATICA_ACESSORI|FERRAMENTAS_JARDIM|FASHION_BOLSAS_E_ACE|UTILIDADES_DOMESTICA|BRINQUEDOS|AUTOMOTIVO|ELETRONICOS|
JI-PARANA-RO;3131.57;BELEZA_SAUDE|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|TELEFONIA|PAPELARIA|RELOGIOS_PRESENTES|AUTOMOTIVO|FASHION_BOLSAS_E_ACE|ELETRONICOS|MALAS_ACESSORIOS|
BARROSO-MG;1289.96;BELEZA_SAUDE|INFORMATICA_ACESSORI|PET_SHOP|ELETRODOMESTICOS|TELEFONIA|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|AUTOMOTIVO|MOVEIS_ESCRITORIO|
VILA MURIQUI-RJ;731.76;BELEZA_SAUDE|ESPORTE_LAZER|CAMA_MESA_BANHO|TELEFONIA|ELETRONICOS|
ITAPEVA-SP;5251.15;BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|MOVEIS_DECORACAO|ESPORTE_LAZER|RELOGIOS_PRESENTES|INFORMATICA_ACESSORI|AUTOMOTIVO|ELETRONICOS|PAPELARIA|BEBIDAS|COOL_STUFF|TELEFONIA|FASHION_BOLSAS_E_ACE|ELETRODOMESTICOS|PET_SHOP|CONSOLES_GAMES|BRINQUEDOS|MALAS_ACESSORIOS|
CIANORTE-PR;4049.63;BELEZA_SAUDE|MOVEIS_DECORACAO|TELEFONIA|AUTOMOTIVO|COOL_STUFF|MALAS_ACESSORIOS|PAPELARIA|BRINQUEDOS|ESPORTE_LAZER|FERRAMENTAS_JARDIM|INFORMATICA_ACESSORI|RELOGIOS_PRESENTES|CAMA_MESA_BANHO|BEBIDAS|CONSOLES_GAMES|
SATUBINHA-MA;138.79;BELEZA_SAUDE|PET_SHOP|
PARANAPANEMA-SP;560.45;BELEZA_SAUDE|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|TELEFONIA|COOL_STUFF|BEBIDAS|ELETRONICOS|MOVEIS_DECORACAO|ESPORTE_LAZER|
ARAQUARI-SC;993.25;BELEZA_SAUDE|FERRAMENTAS_JARDIM|INFORMATICA_ACESSORI|COOL_STUFF|ELETRONICOS|ESPORTE_LAZER|BRINQUEDOS|
ANTA-RJ;241.88;BELEZA_SAUDE|TELEFONIA|FASHION_BOLSAS_E_ACE|
SALINAS-MG;4067.88;BELEZA_SAUDE|FERRAMENTAS_JARDIM|INFORMATICA_ACESSORI|ESPORTE_LAZER|PAPELARIA|TELEFONIA|AUTOMOTIVO|MALAS_ACESSORIOS|
PINDAMONHANGABA-SP;9683.41;BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|BRINQUEDOS|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|ESPORTE_LAZER|AUTOMOTIVO|TELEFONIA|INFORMATICA_ACESSORI|UTILIDADES_DOMESTICA|MALAS_ACESSORIOS|PET_SHOP|FASHION_BOLSAS_E_ACE|ELETRODOMESTICOS|COOL_STUFF|BEBIDAS|ELETRONICOS|PAPELARIA|
NOVA SERRANA-MG;7289.49;BELEZA_SAUDE|PERFUMARIA|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|COOL_STUFF|TELEFONIA|RELOGIOS_PRESENTES|FASHION_BOLSAS_E_ACE|INFORMATICA_ACESSORI|BEBIDAS|AUTOMOTIVO|ESPORTE_LAZER|CAMA_MESA_BANHO|PET_SHOP|MALAS_ACESSORIOS|BRINQUEDOS|
AURORA-CE;367.69;BELEZA_SAUDE|ELETRONICOS|RELOGIOS_PRESENTES|
CARIACICA-ES;14140.92;BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|RELOGIOS_PRESENTES|ESPORTE_LAZER|TELEFONIA|FASHION_BOLSAS_E_ACE|COOL_STUFF|AUTOMOTIVO|BEBIDAS|INFORMATICA_ACESSORI|CONSOLES_GAMES|BRINQUEDOS|PET_SHOP|PAPELARIA|ELETRONICOS|MALAS_ACESSORIOS|
CATALAO-GO;5446.23;BELEZA_SAUDE|PERFUMARIA|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|CAMA_MESA_BANHO|MOVEIS_DECORACAO|COOL_STUFF|INFORMATICA_ACESSORI|TELEFONIA|AUTOMOTIVO|FASHION_BOLSAS_E_ACE|BRINQUEDOS|UTILIDADES_DOMESTICA|ESPORTE_LAZER|BEBIDAS|
PINHEIRO MACHADO-RS;542.89;BELEZA_SAUDE|RELOGIOS_PRESENTES|ELETRONICOS|CONSOLES_GAMES|AUTOMOTIVO|
URUGUAIANA-RS;3970.09;BELEZA_SAUDE|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ESPORTE_LAZER|TELEFONIA|RELOGIOS_PRESENTES|COOL_STUFF|INFORMATICA_ACESSORI|PERFUMARIA|BRINQUEDOS|BEBIDAS|ELETRODOMESTICOS|CONSOLES_GAMES|ELETRONICOS|CAMA_MESA_BANHO|AUTOMOTIVO|
ANGRA DOS REIS-RJ;13791.89;BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|ESPORTE_LAZER|UTILIDADES_DOMESTICA|MOVEIS_ESCRITORIO|TELEFONIA|COOL_STUFF|INFORMATICA_ACESSORI|BRINQUEDOS|RELOGIOS_PRESENTES|ELETRODOMESTICOS|AUTOMOTIVO|PAPELARIA|ELETRONICOS|PET_SHOP|
PIRAPETINGA-MG;486.39;BELEZA_SAUDE|FERRAMENTAS_JARDIM|TELEFONIA|MOVEIS_ESCRITORIO|INFORMATICA_ACESSORI|PERFUMARIA|
SOBRAL-CE;6552.35;BELEZA_SAUDE|PERFUMARIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|MOVEIS_DECORACAO|TELEFONIA|BRINQUEDOS|ELETRODOMESTICOS|AUTOMOTIVO|BEBIDAS|INFORMATICA_ACESSORI|COOL_STUFF|UTILIDADES_DOMESTICA|CAMA_MESA_BANHO|
CHAPADAO DO SUL-MS;1322.59;BELEZA_SAUDE|INFORMATICA_ACESSORI|UTILIDADES_DOMESTICA|PERFUMARIA|ELETRONICOS|COOL_STUFF|BEBIDAS|MOVEIS_DECORACAO|AUTOMOTIVO|
SAO LOURENCO-MG;4029.99;BELEZA_SAUDE|FERRAMENTAS_JARDIM|PERFUMARIA|TELEFONIA|COOL_STUFF|BEBIDAS|RELOGIOS_PRESENTES|ESPORTE_LAZER|ELETRODOMESTICOS|CAMA_MESA_BANHO|AUTOMOTIVO|INFORMATICA_ACESSORI|MOVEIS_DECORACAO|
MONTE CARMELO-MG;3076.45;BELEZA_SAUDE|FERRAMENTAS_JARDIM|TELEFONIA|MOVEIS_DECORACAO|COOL_STUFF|BRINQUEDOS|UTILIDADES_DOMESTICA|ESPORTE_LAZER|AUTOMOTIVO|CAMA_MESA_BANHO|INFORMATICA_ACESSORI|BEBIDAS|
TURMALINA-MG;968.69;BELEZA_SAUDE|UTILIDADES_DOMESTICA|CONSOLES_GAMES|COOL_STUFF|CAMA_MESA_BANHO|MOVEIS_ESCRITORIO|
VARJOTA-CE;662.98;BELEZA_SAUDE|AUTOMOTIVO|
ARARUAMA-RJ;6455.93;BELEZA_SAUDE|PERFUMARIA|FASHION_BOLSAS_E_ACE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|ESPORTE_LAZER|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|BEBIDAS|AUTOMOTIVO|INFORMATICA_ACESSORI|COOL_STUFF|PAPELARIA|BRINQUEDOS|MALAS_ACESSORIOS|UTILIDADES_DOMESTICA|
RIO CLARO-SP;17853.51;BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|ESPORTE_LAZER|PERFUMARIA|TELEFONIA|RELOGIOS_PRESENTES|FASHION_BOLSAS_E_ACE|INFORMATICA_ACESSORI|PAPELARIA|ELETRONICOS|BEBIDAS|ELETRODOMESTICOS|BRINQUEDOS|AUTOMOTIVO|COOL_STUFF|MALAS_ACESSORIOS|PET_SHOP|
POMPEU-MG;970.28;BELEZA_SAUDE|FERRAMENTAS_JARDIM|TELEFONIA|PAPELARIA|CAMA_MESA_BANHO|RELOGIOS_PRESENTES|INFORMATICA_ACESSORI|AUTOMOTIVO|FASHION_BOLSAS_E_ACE|
ITOBI-SP;436.79;BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|
NOSSA SENHORA DO SOCORRO-SE;2064.58;BELEZA_SAUDE|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ELETRONICOS|MALAS_ACESSORIOS|CAMA_MESA_BANHO|COOL_STUFF|RELOGIOS_PRESENTES|INFORMATICA_ACESSORI|
RIO DO SUL-SC;3884.85;BELEZA_SAUDE|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|TELEFONIA|ELETRONICOS|INFORMATICA_ACESSORI|COOL_STUFF|RELOGIOS_PRESENTES|ESPORTE_LAZER|PAPELARIA|MOVEIS_ESCRITORIO|BRINQUEDOS|
VENANCIO AIRES-RS;2667.12;BELEZA_SAUDE|UTILIDADES_DOMESTICA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|TELEFONIA|RELOGIOS_PRESENTES|PERFUMARIA|ESPORTE_LAZER|INFORMATICA_ACESSORI|
RIO MARIA-PA;632.86;BELEZA_SAUDE|CAMA_MESA_BANHO|
SAO GABRIEL-RS;2362.85;BELEZA_SAUDE|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|BEBIDAS|UTILIDADES_DOMESTICA|MALAS_ACESSORIOS|INFORMATICA_ACESSORI|ELETRONICOS|MOVEIS_DECORACAO|ESPORTE_LAZER|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|
CAPAO BONITO-SP;2930.07;BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|PERFUMARIA|TELEFONIA|ESPORTE_LAZER|PET_SHOP|RELOGIOS_PRESENTES|PAPELARIA|BEBIDAS|UTILIDADES_DOMESTICA|AUTOMOTIVO|
GAROPABA-SC;2865.60;BELEZA_SAUDE|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ESPORTE_LAZER|INFORMATICA_ACESSORI|BRINQUEDOS|PERFUMARIA|BEBIDAS|COOL_STUFF|
SANTANA DO PARAISO-MG;2696.82;BELEZA_SAUDE|ELETRODOMESTICOS|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|PAPELARIA|MOVEIS_DECORACAO|TELEFONIA|UTILIDADES_DOMESTICA|AUTOMOTIVO|ESPORTE_LAZER|PERFUMARIA|
MATAO-SP;5686.92;BELEZA_SAUDE|TELEFONIA|FERRAMENTAS_JARDIM|ELETRONICOS|INFORMATICA_ACESSORI|BEBIDAS|CONSOLES_GAMES|BRINQUEDOS|ESPORTE_LAZER|RELOGIOS_PRESENTES|MOVEIS_DECORACAO|PAPELARIA|COOL_STUFF|CAMA_MESA_BANHO|FASHION_BOLSAS_E_ACE|UTILIDADES_DOMESTICA|PET_SHOP|AUTOMOTIVO|
IPATINGA-MG;18998.78;BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|ESPORTE_LAZER|TELEFONIA|MOVEIS_ESCRITORIO|INFORMATICA_ACESSORI|PAPELARIA|ELETRONICOS|COOL_STUFF|MALAS_ACESSORIOS|FASHION_BOLSAS_E_ACE|BRINQUEDOS|ELETRODOMESTICOS|BEBIDAS|CONSOLES_GAMES|AUTOMOTIVO|
LAGARTO-SE;1525.53;BELEZA_SAUDE|TELEFONIA|CAMA_MESA_BANHO|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|ELETRONICOS|AUTOMOTIVO|PAPELARIA|BRINQUEDOS|
PIRANGI-SP;825.09;BELEZA_SAUDE|RELOGIOS_PRESENTES|AUTOMOTIVO|INFORMATICA_ACESSORI|BEBIDAS|UTILIDADES_DOMESTICA|
ARROIO DOS RATOS-RS;1034.18;BELEZA_SAUDE|CAMA_MESA_BANHO|TELEFONIA|ELETRONICOS|COOL_STUFF|UTILIDADES_DOMESTICA|PET_SHOP|AUTOMOTIVO|
CAPAO DA CANOA-RS;3769.93;BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|PERFUMARIA|RELOGIOS_PRESENTES|ESPORTE_LAZER|INFORMATICA_ACESSORI|COOL_STUFF|CONSOLES_GAMES|FASHION_BOLSAS_E_ACE|UTILIDADES_DOMESTICA|ELETRONICOS|PAPELARIA|
PARAIBA DO SUL-RJ;2312.67;BELEZA_SAUDE|UTILIDADES_DOMESTICA|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|RELOGIOS_PRESENTES|FERRAMENTAS_JARDIM|PERFUMARIA|BEBIDAS|PAPELARIA|CAMA_MESA_BANHO|ESPORTE_LAZER|
ADAMANTINA-SP;5184.37;BELEZA_SAUDE|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|TELEFONIA|ELETRONICOS|BEBIDAS|BRINQUEDOS|PERFUMARIA|RELOGIOS_PRESENTES|PAPELARIA|INFORMATICA_ACESSORI|MOVEIS_DECORACAO|FASHION_BOLSAS_E_ACE|UTILIDADES_DOMESTICA|ESPORTE_LAZER|
SACRAMENTO-MG;1320.69;BELEZA_SAUDE|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|RELOGIOS_PRESENTES|ELETRONICOS|PERFUMARIA|
PATY DO ALFERES-RJ;2234.66;BELEZA_SAUDE|FERRAMENTAS_JARDIM|ELETRONICOS|RELOGIOS_PRESENTES|CAMA_MESA_BANHO|COOL_STUFF|UTILIDADES_DOMESTICA|AUTOMOTIVO|
EMBU-GUACU-SP;4359.35;BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|ESPORTE_LAZER|TELEFONIA|RELOGIOS_PRESENTES|AUTOMOTIVO|MOVEIS_DECORACAO|ELETRONICOS|ELETRODOMESTICOS|PAPELARIA|PET_SHOP|BRINQUEDOS|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|COOL_STUFF|
PALMAS-PR;1765.90;BELEZA_SAUDE|RELOGIOS_PRESENTES|MOVEIS_DECORACAO|BEBIDAS|CAMA_MESA_BANHO|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|PERFUMARIA|CONSOLES_GAMES|UTILIDADES_DOMESTICA|PAPELARIA|BRINQUEDOS|ESPORTE_LAZER|
VARGEM GRANDE DO SUL-SP;620.28;BELEZA_SAUDE|UTILIDADES_DOMESTICA|CAMA_MESA_BANHO|MALAS_ACESSORIOS|FERRAMENTAS_JARDIM|BRINQUEDOS|INFORMATICA_ACESSORI|
BASTOS-SP;1327.78;BELEZA_SAUDE|TELEFONIA|MOVEIS_DECORACAO|ESPORTE_LAZER|PAPELARIA|ELETRODOMESTICOS|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|INFORMATICA_ACESSORI|BRINQUEDOS|AUTOMOTIVO|
ALEGRETE-RS;4368.88;BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|ESPORTE_LAZER|TELEFONIA|AUTOMOTIVO|MOVEIS_ESCRITORIO|INFORMATICA_ACESSORI|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|PAPELARIA|BEBIDAS|RELOGIOS_PRESENTES|CONSOLES_GAMES|BRINQUEDOS|
GUAPIARA-SP;210.29;BELEZA_SAUDE|MOVEIS_DECORACAO|AUTOMOTIVO|
NOVA VENECIA-ES;1986.35;BELEZA_SAUDE|CAMA_MESA_BANHO|ESPORTE_LAZER|PERFUMARIA|UTILIDADES_DOMESTICA|RELOGIOS_PRESENTES|MOVEIS_DECORACAO|BEBIDAS|FERRAMENTAS_JARDIM|TELEFONIA|MOVEIS_ESCRITORIO|
IRECE-BA;1680.22;BELEZA_SAUDE|MOVEIS_DECORACAO|TELEFONIA|MOVEIS_ESCRITORIO|UTILIDADES_DOMESTICA|ELETRODOMESTICOS|BEBIDAS|FERRAMENTAS_JARDIM|CAMA_MESA_BANHO|
PARAISOPOLIS-MG;2041.76;BELEZA_SAUDE|PERFUMARIA|ELETRODOMESTICOS|UTILIDADES_DOMESTICA|CONSOLES_GAMES|BEBIDAS|INFORMATICA_ACESSORI|AUTOMOTIVO|ESPORTE_LAZER|
PIRENOPOLIS-GO;173.97;BELEZA_SAUDE|ESPORTE_LAZER|FERRAMENTAS_JARDIM|
DOMICIANO RIBEIRO-GO;114.89;BELEZA_SAUDE|PERFUMARIA|
BENEVIDES-PA;228.89;BELEZA_SAUDE|ESPORTE_LAZER|
MATOZINHOS-MG;653.66;BELEZA_SAUDE|CAMA_MESA_BANHO|AUTOMOTIVO|UTILIDADES_DOMESTICA|COOL_STUFF|INFORMATICA_ACESSORI|BRINQUEDOS|ESPORTE_LAZER|
CANOINHAS-SC;2597.01;PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|TELEFONIA|ESPORTE_LAZER|BEBIDAS|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|ELETRONICOS|INFORMATICA_ACESSORI|UTILIDADES_DOMESTICA|PET_SHOP|
CANOAS-RS;24231.56;PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|BEBIDAS|RELOGIOS_PRESENTES|ESPORTE_LAZER|TELEFONIA|FASHION_BOLSAS_E_ACE|COOL_STUFF|PAPELARIA|ELETRONICOS|INFORMATICA_ACESSORI|BRINQUEDOS|MALAS_ACESSORIOS|BELEZA_SAUDE|PET_SHOP|ELETRODOMESTICOS|AUTOMOTIVO|CONSOLES_GAMES|
VALENCA-RJ;3826.56;PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|ESPORTE_LAZER|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|AUTOMOTIVO|CONSOLES_GAMES|TELEFONIA|RELOGIOS_PRESENTES|ELETRONICOS|BELEZA_SAUDE|
GUARIBA-SP;1580.53;PERFUMARIA|ESPORTE_LAZER|RELOGIOS_PRESENTES|BELEZA_SAUDE|AUTOMOTIVO|FASHION_BOLSAS_E_ACE|MALAS_ACESSORIOS|
ABREU E LIMA-PE;1831.95;PERFUMARIA|BELEZA_SAUDE|FERRAMENTAS_JARDIM|ELETRONICOS|AUTOMOTIVO|COOL_STUFF|ESPORTE_LAZER|
LAGOA DOURADA-MG;586.78;PERFUMARIA|FERRAMENTAS_JARDIM|BEBIDAS|ESPORTE_LAZER|
TIJUCAS-SC;3449.73;PERFUMARIA|BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|ESPORTE_LAZER|TELEFONIA|RELOGIOS_PRESENTES|PAPELARIA|ELETRONICOS|FERRAMENTAS_JARDIM|PET_SHOP|AUTOMOTIVO|BRINQUEDOS|ELETRODOMESTICOS|
ELISIO MEDRADO-BA;79.82;PERFUMARIA|INFORMATICA_ACESSORI|
SANTA ALBERTINA-SP;610.39;PERFUMARIA|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|MALAS_ACESSORIOS|BRINQUEDOS|
JOAQUIM NABUCO-PE;184.97;PERFUMARIA|TELEFONIA|BELEZA_SAUDE|
NILOPOLIS-RJ;10427.93;PERFUMARIA|CAMA_MESA_BANHO|BRINQUEDOS|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|COOL_STUFF|TELEFONIA|MOVEIS_ESCRITORIO|AUTOMOTIVO|ESPORTE_LAZER|UTILIDADES_DOMESTICA|PAPELARIA|ELETRONICOS|INFORMATICA_ACESSORI|BEBIDAS|MALAS_ACESSORIOS|BELEZA_SAUDE|FASHION_BOLSAS_E_ACE|PET_SHOP|CONSOLES_GAMES|
MEDIANEIRA-PR;1921.85;PERFUMARIA|MOVEIS_DECORACAO|TELEFONIA|MOVEIS_ESCRITORIO|INFORMATICA_ACESSORI|RELOGIOS_PRESENTES|CAMA_MESA_BANHO|MALAS_ACESSORIOS|BELEZA_SAUDE|UTILIDADES_DOMESTICA|
RIO DAS PEDRAS-SP;968.64;PERFUMARIA|CAMA_MESA_BANHO|BEBIDAS|ESPORTE_LAZER|INFORMATICA_ACESSORI|BELEZA_SAUDE|
GOITACAZES-RJ;1116.34;PERFUMARIA|INFORMATICA_ACESSORI|COOL_STUFF|BRINQUEDOS|BELEZA_SAUDE|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|ESPORTE_LAZER|BEBIDAS|
INDAIAL-SC;3067.17;PERFUMARIA|RELOGIOS_PRESENTES|INFORMATICA_ACESSORI|TELEFONIA|ELETRONICOS|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|BELEZA_SAUDE|MALAS_ACESSORIOS|ESPORTE_LAZER|AUTOMOTIVO|ELETRODOMESTICOS|
COLINAS-MA;1128.87;PERFUMARIA|BELEZA_SAUDE|CONSOLES_GAMES|
TORRES-RS;1140.65;PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|BELEZA_SAUDE|COOL_STUFF|FASHION_BOLSAS_E_ACE|ESPORTE_LAZER|TELEFONIA|BEBIDAS|UTILIDADES_DOMESTICA|
MANHUMIRIM-MG;1741.78;PERFUMARIA|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|ELETRONICOS|MALAS_ACESSORIOS|ESPORTE_LAZER|TELEFONIA|RELOGIOS_PRESENTES|INFORMATICA_ACESSORI|
PATOS-PB;3127.75;PERFUMARIA|MOVEIS_DECORACAO|CAMA_MESA_BANHO|BELEZA_SAUDE|BEBIDAS|ESPORTE_LAZER|ELETRODOMESTICOS|BRINQUEDOS|RELOGIOS_PRESENTES|AUTOMOTIVO|COOL_STUFF|
PALHOCA-SC;10308.06;PERFUMARIA|BELEZA_SAUDE|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ESPORTE_LAZER|BRINQUEDOS|CONSOLES_GAMES|AUTOMOTIVO|ELETRONICOS|INFORMATICA_ACESSORI|COOL_STUFF|PAPELARIA|ELETRODOMESTICOS|RELOGIOS_PRESENTES|UTILIDADES_DOMESTICA|FASHION_BOLSAS_E_ACE|BEBIDAS|PET_SHOP|
BARAO DE COCAIS-MG;1958.40;PERFUMARIA|BEBIDAS|MOVEIS_ESCRITORIO|MOVEIS_DECORACAO|AUTOMOTIVO|COOL_STUFF|PAPELARIA|CAMA_MESA_BANHO|TELEFONIA|ESPORTE_LAZER|BRINQUEDOS|UTILIDADES_DOMESTICA|
VISCONDE DO RIO BRANCO-MG;1227.44;PERFUMARIA|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|MOVEIS_DECORACAO|ELETRONICOS|COOL_STUFF|BRINQUEDOS|BEBIDAS|INFORMATICA_ACESSORI|BELEZA_SAUDE|
PORCIUNCULA-RJ;936.88;PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_ESCRITORIO|INFORMATICA_ACESSORI|PAPELARIA|BELEZA_SAUDE|
JUAZEIRO-BA;7251.39;PERFUMARIA|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|TELEFONIA|MOVEIS_ESCRITORIO|AUTOMOTIVO|PET_SHOP|INFORMATICA_ACESSORI|BELEZA_SAUDE|PAPELARIA|FASHION_BOLSAS_E_ACE|CONSOLES_GAMES|MALAS_ACESSORIOS|ESPORTE_LAZER|UTILIDADES_DOMESTICA|
INDIANOPOLIS-PR;162.89;PERFUMARIA|CAMA_MESA_BANHO|AUTOMOTIVO|
PARANAIBA-MS;1298.24;PERFUMARIA|BELEZA_SAUDE|ELETRONICOS|INFORMATICA_ACESSORI|BRINQUEDOS|PAPELARIA|PET_SHOP|MOVEIS_DECORACAO|ESPORTE_LAZER|
ARACATI-CE;1716.65;PERFUMARIA|BELEZA_SAUDE|MOVEIS_DECORACAO|ESPORTE_LAZER|BRINQUEDOS|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|BEBIDAS|MALAS_ACESSORIOS|TELEFONIA|AUTOMOTIVO|CONSOLES_GAMES|INFORMATICA_ACESSORI|
FRANCISCO MORATO-SP;8264.28;PERFUMARIA|BELEZA_SAUDE|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ESPORTE_LAZER|TELEFONIA|RELOGIOS_PRESENTES|FASHION_BOLSAS_E_ACE|MOVEIS_ESCRITORIO|ELETRONICOS|MALAS_ACESSORIOS|ELETRODOMESTICOS|INFORMATICA_ACESSORI|CONSOLES_GAMES|BRINQUEDOS|PET_SHOP|COOL_STUFF|PAPELARIA|AUTOMOTIVO|BEBIDAS|
IMBITUBA-SC;2641.68;PERFUMARIA|BELEZA_SAUDE|CAMA_MESA_BANHO|TELEFONIA|RELOGIOS_PRESENTES|ELETRONICOS|BRINQUEDOS|PAPELARIA|ESPORTE_LAZER|COOL_STUFF|MOVEIS_DECORACAO|INFORMATICA_ACESSORI|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|FASHION_BOLSAS_E_ACE|BEBIDAS|
EXTREMA-MG;4332.18;PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|BELEZA_SAUDE|BRINQUEDOS|INFORMATICA_ACESSORI|FERRAMENTAS_JARDIM|ESPORTE_LAZER|ELETRONICOS|PET_SHOP|UTILIDADES_DOMESTICA|
COREMAS-PB;284.69;PERFUMARIA|INFORMATICA_ACESSORI|BRINQUEDOS|
MIRACATU-SP;863.99;PERFUMARIA|MOVEIS_DECORACAO|AUTOMOTIVO|
