Cidade;valortotal;categorias
SAO PAULO-SP;1600869.19;COOL_STUFF|BRINQUEDOS|PET_SHOP|MOVEIS_DECORACAO|PERFUMARIA|INFORMATICA_ACESSORI|PAPELARIA|FERRAMENTAS_JARDIM|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|TELEFONIA|BELEZA_SAUDE|CONSOLES_GAMES|BEBIDAS|FASHION_BOLSAS_E_ACE|RELOGIOS_PRESENTES|ELETRONICOS|AUTOMOTIVO|ESPORTE_LAZER|MOVEIS_ESCRITORIO|MALAS_ACESSORIOS|ELETRODOMESTICOS|
NITEROI-RJ;100694.39;COOL_STUFF|INFORMATICA_ACESSORI|PERFUMARIA|BELEZA_SAUDE|BEBIDAS|CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|ESPORTE_LAZER|TELEFONIA|AUTOMOTIVO|MOVEIS_ESCRITORIO|ELETRONICOS|PET_SHOP|PAPELARIA|CONSOLES_GAMES|BRINQUEDOS|MALAS_ACESSORIOS|FASHION_BOLSAS_E_ACE|ELETRODOMESTICOS|
PALMEIRA DOS INDIOS-AL;692.69;COOL_STUFF|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|ESPORTE_LAZER|
TATUI-SP;10219.31;COOL_STUFF|CAMA_MESA_BANHO|BEBIDAS|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|AUTOMOTIVO|UTILIDADES_DOMESTICA|ELETRONICOS|PAPELARIA|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|ESPORTE_LAZER|BRINQUEDOS|RELOGIOS_PRESENTES|PERFUMARIA|FASHION_BOLSAS_E_ACE|BELEZA_SAUDE|TELEFONIA|
MACAE-RJ;26006.23;COOL_STUFF|BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|TELEFONIA|ESPORTE_LAZER|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|ELETRONICOS|INFORMATICA_ACESSORI|PET_SHOP|BEBIDAS|CONSOLES_GAMES|BRINQUEDOS|PAPELARIA|ELETRODOMESTICOS|MALAS_ACESSORIOS|
INDAIATUBA-SP;33631.82;BRINQUEDOS|BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|ESPORTE_LAZER|TELEFONIA|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|RELOGIOS_PRESENTES|AUTOMOTIVO|COOL_STUFF|ELETRONICOS|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|UTILIDADES_DOMESTICA|BEBIDAS|ELETRODOMESTICOS|PET_SHOP|CONSOLES_GAMES|
OSORIO-RS;4143.94;BRINQUEDOS|PERFUMARIA|BEBIDAS|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|AUTOMOTIVO|INFORMATICA_ACESSORI|BELEZA_SAUDE|ESPORTE_LAZER|FASHION_BOLSAS_E_ACE|ELETRONICOS|TELEFONIA|ELETRODOMESTICOS|PET_SHOP|PAPELARIA|
PIMENTA BUENO-RO;1243.79;BRINQUEDOS|BEBIDAS|COOL_STUFF|CAMA_MESA_BANHO|PET_SHOP|MOVEIS_ESCRITORIO|
CELINA-ES;174.90;BRINQUEDOS|TELEFONIA|
ITANHOMI-MG;308.55;BRINQUEDOS|BELEZA_SAUDE|ESPORTE_LAZER|
CAXIAS DO SUL-RS;31938.21;BRINQUEDOS|PET_SHOP|BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|ESPORTE_LAZER|COOL_STUFF|TELEFONIA|RELOGIOS_PRESENTES|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|ELETRONICOS|INFORMATICA_ACESSORI|CONSOLES_GAMES|BEBIDAS|PAPELARIA|ELETRODOMESTICOS|
PORTO FELIZ-SP;2201.10;BRINQUEDOS|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|TELEFONIA|INFORMATICA_ACESSORI|AUTOMOTIVO|UTILIDADES_DOMESTICA|PERFUMARIA|ESPORTE_LAZER|FASHION_BOLSAS_E_ACE|
ANALANDIA-SP;422.03;BRINQUEDOS|CAMA_MESA_BANHO|
